rank,tag_id,canonical_name,relation_count,alias_count,ns,note
1,env.v2a_070.prospect_refuge_ability_to_see_without_being_seen,Prospect–refuge: ability to see without being seen,4,10,env,
2,env.ae.clear_sightlines,Clear Sightlines,2,7,env,
3,env.ae.high_ceiling,High Ceiling,2,7,env,
4,env.ae.high_ceiling_+_hard_surfaces,High Ceiling + Hard Surfaces,2,7,env,
5,env.ae.high_cleanliness,High Cleanliness,2,7,env,
6,env.ae.high_color_contrast,High Color Contrast,2,7,env,
7,env.ae.high_color_entropy,High Color Entropy,2,7,env,
8,env.ae.high_contrast_lighting,High Contrast Lighting,2,7,env,
9,env.ae.high_edge_density,High Edge Density,2,7,env,
10,env.ae.high_fractal_dimension_(2d),High Fractal Dimension (2D),2,7,env,
11,env.ae.high_saturation,High Saturation,2,7,env,
12,env.ae.high_seating_density,High Seating Density,2,7,env,
13,env.ae.high_spatial_frequency_content,High Spatial Frequency Content,2,7,env,
14,env.ae.high_symmetry,High Symmetry,2,7,env,
15,env.ae.high_texture_complexity,High Texture Complexity,2,7,env,
16,env.ae.indoor-outdoor_continuity,Indoor-Outdoor Continuity,2,7,env,
17,env.ae.institutional_decor,Institutional Decor,2,7,env,
18,env.ae.irregular_pattern,Irregular Pattern,2,7,env,
19,env.ae.large_enclosure_volume,Large Enclosure Volume,2,7,env,
20,env.ae.large_window_area,Large Window Area,2,7,env,
21,env.ae.low_ceiling,Low Ceiling,2,7,env,
22,env.ae.low_edge_density,Low Edge Density,2,7,env,
23,env.ae.low_saturation,Low Saturation,2,7,env,
24,env.ae.low_spatial_frequency_content,Low Spatial Frequency Content,2,7,env,
25,env.ae.low_symmetry,Low Symmetry,2,7,env,
26,env.ae.low_texture_complexity,Low Texture Complexity,2,7,env,
27,env.ae.maze-like_layout,Maze-Like Layout,2,7,env,
28,env.ae.minimal_signage,Minimal Signage,2,7,env,
29,env.ae.narrow_corridor,Narrow Corridor,2,7,env,
30,env.ae.natural/earthy_palette,Natural/Earthy Palette,2,7,env,contains /
31,env.ae.occluded_sightlines,Occluded Sightlines,2,7,env,
32,env.ae.open_plan,Open Plan,2,7,env,
33,env.ae.poor_visibility_/_dark_corners,Poor Visibility / Dark Corners,2,7,env,contains /
34,env.ae.public/exposed_area,Public/Exposed Area,2,7,env,contains /
35,env.ae.repeating_pattern,Repeating Pattern,2,7,env,
36,env.ae.seating_available,Seating Available,2,7,env,
37,env.ae.strong_central_landmark,Strong Central Landmark,2,7,env,
38,env.ae.strong_horizontality,Strong Horizontality,2,7,env,
39,env.ae.uniform_lighting,Uniform Lighting,2,7,env,
40,env.ae.visible_hvac_vents,Visible HVAC Vents,2,7,env,
41,env.ae.well_maintained,Well Maintained,2,7,env,
42,env.ae.work_surfaces_present,Work Surfaces Present,2,7,env,
43,env.v1_124.water_features,Water features,2,7,env,
44,env.ae.clear_circulation_paths,Clear Circulation Paths,2,8,env,
45,env.ae.compartmentalized_plan,Compartmentalized Plan,2,8,env,
46,env.ae.complex_geometry,Complex Geometry,2,8,env,
47,env.ae.concrete_prominent,Concrete Prominent,2,8,env,
48,env.ae.crowded_space,Crowded Space,2,8,env,
49,env.ae.daylighting,Daylighting,2,8,env,
50,env.ae.fans_visible,Fans Visible,2,8,env,
51,env.ae.glare_present,Glare Present,2,8,env,
52,env.ae.hard_reflective_surfaces,Hard Reflective Surfaces,2,8,env,
53,env.ae.home-like_decor,Home-like Decor,2,8,env,
54,env.ae.low_illuminance,Low Illuminance,2,8,env,
55,env.ae.low_orderliness,Low Orderliness,2,8,env,
56,env.ae.metal_prominent,Metal Prominent,2,8,env,
57,env.ae.nature_imagery,Nature Imagery,2,8,env,
58,env.ae.open_windows,Open Windows,2,8,env,
59,env.ae.rectilinear_forms,Rectilinear Forms,2,8,env,
60,env.ae.soft_acoustic_treatments,Soft Acoustic Treatments,2,8,env,
61,env.ae.sparse_occupancy,Sparse Occupancy,2,8,env,
62,env.ae.strong_verticality,Strong Verticality,2,8,env,
63,env.ae.surveillance_/_cameras_visible,Surveillance / Cameras Visible,2,8,env,contains /
64,env.ae.text/information_density_high,Text/Information Density High,2,8,env,contains /
65,env.ae.view_to_outdoors,View to Outdoors,2,8,env,
66,env.ae.visible_windows,Visible Windows,2,8,env,
67,env.ae.warm_color_palette,Warm Color Palette,2,8,env,
68,env.ae.warm_lighting,Warm Lighting,2,8,env,
69,env.ae.wood_prominent,Wood Prominent,2,8,env,
70,env.v2a_098.natural_materials_wood_stone,Natural materials: wood/stone,2,8,env,
71,env.ae.commercial_branding,Commercial Branding,2,9,env,
72,env.ae.cool_color_palette,Cool Color Palette,2,9,env,
73,env.ae.cool_lighting_(high_cct),Cool Lighting (High CCT),2,9,env,
74,env.ae.curvilinear_forms,Curvilinear Forms,2,9,env,
75,env.ae.fractal-like_pattern,Fractal-Like Pattern,2,9,env,
76,env.ae.glass_prominent,Glass Prominent,2,9,env,
77,env.ae.hard_seating,Hard Seating,2,9,env,
78,env.ae.hazard_indicators,Hazard Indicators,2,9,env,
79,env.ae.high_clutter,High Clutter,2,9,env,
80,env.ae.high_illuminance,High Illuminance,2,9,env,
81,env.ae.high_orderliness,High Orderliness,2,9,env,
82,env.ae.indoor_plants,Indoor Plants,2,9,env,
83,env.ae.monochrome/minimal_palette,Monochrome/Minimal Palette,2,9,env,contains /
84,env.ae.naturalistic_forms,Naturalistic Forms,2,9,env,
85,env.ae.private/enclosed_niche,Private/Enclosed Niche,2,9,env,contains /
86,env.ae.religious_symbols,Religious Symbols,2,9,env,
87,env.ae.soft_seating,Soft Seating,2,9,env,
88,env.ae.stone/marble_prominent,Stone/Marble Prominent,2,9,env,contains /
89,env.ae.visible_dirt/decay,Visible Dirt/Decay,2,9,env,contains /
90,env.ae.worn/degraded,Worn/Degraded,2,9,env,contains /
91,env.ae.clear_exits/wayfinding_signage,Clear Exits/Wayfinding Signage,2,10,env,contains /
92,env.ae.dynamic_lighting,Dynamic Lighting,2,10,env,
93,env.ae.textiles/soft_furnishings,Textiles/Soft Furnishings,2,10,env,contains /
94,env.ae.artworks_prominent,Artworks Prominent,2,11,env,
95,env.ae.barriers/guards_present,Barriers/Guards Present,2,11,env,contains /
